uid,time,WkHR,WkCal,WkSteps
XGHcBspXfRQj3jD91ty8u2UuT483,2020-01-24 08:15:00,110.0,218.0,3529.0
Z8RsBpxhnkebK5fvahVCmfV7icO2,2019-12-16 19:15:00,108.0,141.0,1197.0
Z8RsBpxhnkebK5fvahVCmfV7icO2,2019-12-18 18:00:00,126.0,690.0,3043.0
Z8RsBpxhnkebK5fvahVCmfV7icO2,2019-12-19 21:45:00,107.0,191.0,2275.0
Z8RsBpxhnkebK5fvahVCmfV7icO2,2019-12-20 18:15:00,124.0,632.0,3217.0
Z8RsBpxhnkebK5fvahVCmfV7icO2,2019-12-23 09:15:00,129.0,632.0,3474.0
Z8RsBpxhnkebK5fvahVCmfV7icO2,2019-12-24 14:15:00,101.0,201.0,2850.0
Z8RsBpxhnkebK5fvahVCmfV7icO2,2020-01-13 18:00:00,124.0,511.0,2340.0
Z8RsBpxhnkebK5fvahVCmfV7icO2,2020-01-13 19:30:00,1.0,409.0,1.0
Z8RsBpxhnkebK5fvahVCmfV7icO2,2020-01-16 19:30:00,1.0,393.0,1.0
Z8RsBpxhnkebK5fvahVCmfV7icO2,2020-01-20 14:15:00,113.0,117.0,1341.0
Z8RsBpxhnkebK5fvahVCmfV7icO2,2020-01-20 15:30:00,111.0,112.0,1399.0
Z8RsBpxhnkebK5fvahVCmfV7icO2,2020-01-22 13:15:00,108.0,97.0,953.0
fLqw0dU8z4brI2Jg74ps3pHqLak1,2019-12-17 08:15:00,95.0,225.0,2384.0
fLqw0dU8z4brI2Jg74ps3pHqLak1,2019-12-17 09:15:00,74.0,122.0,1228.0
fLqw0dU8z4brI2Jg74ps3pHqLak1,2019-12-17 13:45:00,80.0,215.0,2686.0
fLqw0dU8z4brI2Jg74ps3pHqLak1,2019-12-17 15:45:00,81.0,510.0,6110.0
fLqw0dU8z4brI2Jg74ps3pHqLak1,2019-12-17 17:45:00,89.0,156.0,1684.0
fLqw0dU8z4brI2Jg74ps3pHqLak1,2019-12-17 19:15:00,79.0,233.0,2164.0
fLqw0dU8z4brI2Jg74ps3pHqLak1,2019-12-18 08:15:00,79.0,166.0,2018.0
fLqw0dU8z4brI2Jg74ps3pHqLak1,2019-12-18 21:15:00,87.0,156.0,1555.0
fLqw0dU8z4brI2Jg74ps3pHqLak1,2019-12-20 09:45:00,129.0,933.0,10619.0
fLqw0dU8z4brI2Jg74ps3pHqLak1,2019-12-21 10:15:00,132.0,1027.0,11575.0
fLqw0dU8z4brI2Jg74ps3pHqLak1,2019-12-22 11:00:00,127.0,556.0,6625.0
fLqw0dU8z4brI2Jg74ps3pHqLak1,2019-12-27 09:30:00,125.0,721.0,8895.0
fLqw0dU8z4brI2Jg74ps3pHqLak1,2020-01-25 10:15:00,87.0,199.0,2192.0
